Genes	TCGA-24-1553-01A	TCGA-36-1569-01A	TCGA-24-1603-01A	TCGA-24-1557-01A	TCGA-24-1104-01A	TCGA-61-1724-01A	TCGA-24-1464-01A	TCGA-25-1318-01A	TCGA-24-1105-01A	TCGA-24-2023-01A	TCGA-29-1776-01A	TCGA-25-2409-01A	TCGA-25-1329-01A	TCGA-61-1911-01A	TCGA-24-2298-01A	TCGA-13-1489-01A	TCGA-61-1914-01A	TCGA-24-1431-01A	TCGA-24-1416-01A	TCGA-29-1696-01A	TCGA-24-1604-01A	TCGA-29-1711-01A	TCGA-36-1570-01A	TCGA-59-2348-01A	TCGA-25-1631-01A	TCGA-24-2033-01A	TCGA-24-1103-01A	TCGA-25-1322-01A	TCGA-24-1552-01A	TCGA-25-1321-01A	TCGA-59-2352-01A	TCGA-61-1918-01A	TCGA-25-1313-01A	TCGA-13-1511-01A	TCGA-24-2267-01A	TCGA-25-2400-01A	TCGA-29-1763-01A	TCGA-61-2008-01A	TCGA-29-1690-01A	TCGA-24-2024-01A	TCGA-29-1688-01A	TCGA-29-2427-01A	TCGA-13-1507-01A	TCGA-29-1769-01A	TCGA-24-1428-01A	TCGA-30-1866-01A	TCGA-23-1123-01A	TCGA-25-2399-01A	TCGA-61-1907-01A	TCGA-24-2261-01A	TCGA-61-1995-01A	TCGA-13-2060-01A	TCGA-24-2290-01A	TCGA-13-1497-01A	TCGA-24-2288-01A	TCGA-13-1404-01A	TCGA-24-1422-01A	TCGA-29-1710-01A	TCGA-29-1766-01A	TCGA-13-1483-01A	TCGA-13-1410-01A	TCGA-13-1488-01A	TCGA-29-1770-01A	TCGA-29-1693-01A	TCGA-30-1891-01A	TCGA-24-1430-01A	TCGA-25-1628-01A	TCGA-29-1705-01A	TCGA-13-1499-01A	TCGA-36-1580-01A	TCGA-25-1320-01A	TCGA-61-1919-01A	TCGA-24-1562-01A	TCGA-29-1785-01A	TCGA-23-1122-01A	TCGA-25-1635-01A	TCGA-24-1435-01A	TCGA-24-2289-01A	TCGA-13-1485-01A	TCGA-36-1576-01A	TCGA-29-2414-01A	TCGA-29-1777-01A	TCGA-13-1501-01A	TCGA-13-1495-01A	TCGA-13-1487-01A	TCGA-24-1467-01A	TCGA-24-2027-01A	TCGA-25-1312-01A	TCGA-24-2020-01A	TCGA-29-1774-01A	TCGA-61-1910-01A	TCGA-29-1762-01A	TCGA-24-1558-01A	TCGA-61-1741-01A	TCGA-13-1492-01A	TCGA-36-1571-01A	TCGA-29-1697-01A	TCGA-61-1900-01A	TCGA-61-2088-01A	TCGA-13-1409-01A	TCGA-36-1581-01A	TCGA-24-1923-01A	TCGA-24-1550-01A	TCGA-24-1563-01A	TCGA-25-1630-01A	TCGA-25-1323-01A	TCGA-25-1623-01A	TCGA-36-1577-01A	TCGA-25-2396-01A	TCGA-24-1474-01A	TCGA-25-1319-01A	TCGA-25-2404-01A	TCGA-29-1768-01A	TCGA-59-2351-01A	TCGA-24-1551-01A	TCGA-24-1544-01A	TCGA-24-1565-01A	TCGA-25-1316-01A	TCGA-09-2056-01A
PLAA	-0.004175	-0.54495	-0.0205	0.13915	0.263	0.20905	-0.39095	0.09185	-0.421	-0.0623	0.117	-0.167975	0.06546	-0.004975	0.75905	-0.228475	0.252	0.26905	0.04115	-0.08095	-0.184	0.51005	0.08455	0.44105	0.12965	-0.03895	-0.025075	0.53105	-0.202	-0.277	0.04745	0.36005	0.12905	0.49905	0.0871	0.0317	0.688525	-0.176975	-0.21695	-0.333975	0.200525	0.13265	0.35705	-0.04295	0.25	0.00391	-0.0422	-0.03695	-0.211825	-0.01055	-0.043475	-0.10895	0.023875	0.69005	0.324	-0.03695	-0.16295	-0.11495	0.12845	-0.30595	0.05655	0.216	-0.07595	-0.282475	-0.26295	-0.158975	0.198025	-0.87295	0.307	-0.48095	0.239	0.00988	0.160775	0.109	0.22105	0.2	0.156875	-0.269475	-0.40695	-0.192	-0.0586	0.0816	0.06389	0.585	0.14805	0.00827	0.426	-0.01365	0.258	0.027	-0.30295	0.721025	0.36205	0.779525	0.41605	-0.13095	0.638525	-0.362	0.49305	-0.00995	0.412	0.0343	-0.121	-0.0988	0.138	-0.08795	0.121375	0.53905	0.61705	0.06224	0.164	0.037025	-0.139825	0.14585	0.421	0.70705	0.12645	-0.00288	-0.12695
PYCRL	-0.266875	0.22125	-0.158	0.53625	0.0227	0.47425	0.29825	1.34625	0.424	0.364	0.308	0.152675	0.60425	-0.426875	0.50025	-0.182475	0.186	0.18725	0.30225	0.42825	0.908	-0.38875	0.57025	-0.37875	-0.14875	-0.03975	0.509125	-0.13675	0.713	0.325	-0.25075	-0.12075	0.28825	0.12455	0.219	-0.707	0.037675	0.529625	-0.48875	0.272625	0.664625	0.29825	0.00665	0.01975	0.613	-0.578	0.148	-0.16075	0.565125	-0.16975	-0.463375	-0.38975	0.030125	-0.02175	-0.107	-0.04875	0.07525	-0.39875	-0.27775	1.11625	-0.21475	0.127	0.97225	0.633125	0.39225	-0.410375	-0.337375	0.41025	-0.0703	0.16945	-0.27	0.277	-0.364875	-0.0216	0.06155	0.331	0.426625	0.487625	0.04585	-0.131	0.00578	-0.338	0.63825	-0.125	0.04015	0.125	-0.438	-0.08875	0.00193	-0.0416	0.05875	-0.709875	-0.11475	-0.266875	0.19025	0.77425	-0.027975	-0.422	0.34825	0.19725	-0.271	-0.176	-0.495	0.372	-0.501	0.03375	-0.384225	-0.19375	-0.49275	-0.42575	-0.85	-0.178875	-0.172425	1.15625	-0.388	-0.06975	0.06995	-0.489	0.17605
LAP3	0.121	-0.1837	0.742	0.082	0.168	0.239	0.136	-0.544	-0.219	-0.323	-0.229	-0.257	-0.477	0.3895	-0.487	-0.9255	0.0397	-0.657	-0.1452	-0.079	1.01	0.336	0.085	-0.1681	-0.558	-0.508	0.0253	-0.230952	0.335	0.163	0.032	0.259	0.312	0.419	0.661	-0.635	0.3235	-0.12975	-0.3188	-0.4115	0.01746	0.743	0.453	0.13	0.158	0.012	0.0881	0.246	0.783	-0.096	-0.555	0.302	-0.494	0.242	0.541	-0.2972	-0.671	0.001	-0.1614	-0.2857	-0.1429	0.949	-0.2564	-0.322	-0.986	-0.4995	0.106	-0.551	0.00901	-0.42	-0.297	0.0857	-0.2558	0.0157	-0.458	-0.523	-0.1205	0.4865	-1.003	0.457	-0.686	-0.284	-0.49	-0.516	-0.767	-0.731	-1.17	-0.625	-1.42	-0.74	-0.369	-1.1955	-0.495	-0.06445	-0.465	0.302	-0.656	-0.968	-0.655	-1.138	0.399	-0.605	0.946	0.375	0.215	-0.85	0.1575	-1.218	-0.048	-0.409	-0.0812	-0.071	0.203	-0.361	0.195	-0.2637	0.014	-0.813	-0.1732
TSTA3	-0.0309	0.0775	-0.0242	0.0347	1.21	0.007	-0.3013	0.9957	0.449	0.781	-0.0537	0.65085	0.1381	0.08255	-0.2143	0.0702	0.424	-0.5183	0.1527	0.3017	0.501	0.8577	0.0977	0.3677	0.0807	-0.5303	0.09945	-0.1603	0.0173	-0.57	-0.7923	-0.1603	0.2557	1.0547	0.2	-0.468	-0.0731	0.37935	-0.2403	-0.03285	0.50835	0.1577	0.1237	0.0706	-0.271	-0.455	-0.219	0.0777	0.78485	-0.5753	0.17135	-0.6013	-0.30565	0.0051	-0.425	-0.3583	0.0025	-0.1353	-0.0633	0.9807	0.2707	-0.351	0.5357	0.36885	0.0877	0.24235	-0.1276	-0.2213	0.0437	0.1346	-0.311	-0.0498	0.38385	0.24	0.1301	-0.492	0.58635	0.27435	-0.3133	0.0583	-0.709	0.188	0.7047	-0.108	-0.1443	0.815	-0.98	-0.1583	-1.4	-0.522	0.9317	-0.62865	-0.1273	-0.28065	-0.2623	0.1142	-0.0641	0.313	0.1323	0.03654	-0.547	0.116	-0.385	-0.0204	0.0527	0.0073	0.83085	0.2927	-0.4673	0.018	-0.641	-0.2138	0.05935	-0.0793	-0.265	-0.2853	-0.3123	-0.754	-0.0477
NDRG2	0.39393	0.44136	0.0995	0.75736	0.35	-0.13364	-0.30804	-0.29764	-0.752	-0.792	-0.109	-0.04402	-0.30364	0.06663	0.81736	-0.34832	0.151	-0.63564	0.46736	-0.68364	-0.0537	-0.53464	0.01136	-0.83464	-0.34964	-0.08664	-0.19338	0.83736	-1	1.29	0.84736	-0.42264	0.67736	0.88736	-0.23	0.702	-0.71082	-0.38827	-0.05964	-0.39272	-0.19112	-0.25652	-1.38264	-0.33464	-1.62	0.727	-0.581	-1.04664	-0.05182	-0.48164	0.03269	-1.97264	1.12868	1.25736	-0.603	0.75736	-1.17464	0.18236	-0.72564	-1.08564	-0.80464	-0.211	-0.45064	-0.71032	0.06936	-0.31907	-0.30982	-0.70964	-0.342	-0.94864	-0.559	-0.645	-0.27837	-1.62	-0.21154	-0.582	-0.42632	-0.48582	-0.14264	0.485	0.74	-0.538	-0.53364	-1.14	-0.33594	0.13	-0.151	-0.39264	-0.28	0.316	-1.28264	0.12718	-0.52464	-0.05382	0.63436	1.21736	-1.70632	1.28	0.67736	0.68836	-0.131	0.442	0.579	-1.1	-0.156	0.49736	-1.26132	0.57736	0.89736	1.00736	0.157	0.90818	-0.03832	-0.78964	-0.27	0.48836	0.06036	0.154	-0.91664
NUDCD1	-0.627175	-0.04735	-0.132	0.23165	0.16	0.66265	0.67865	0.84965	1.2	0.237	0.228	0.165625	0.54465	-0.163175	0.03875	0.107225	0.316	-0.06835	-0.04435	1.00765	-0.305	0.04965	0.32165	0.04405	0.03735	0.08565	0.547825	-0.07735	0.395	0.122	-0.24935	0.24965	-0.20635	0.32265	-0.501	-0.111	0.015995	0.264825	-0.16235	-0.286675	0.699825	0.10415	0.33865	-0.04635	0.423	-0.386	0.0349	0.34465	0.298825	0.03865	-0.254175	0.39865	0.587325	0.20265	-0.0253	0.13865	-0.16035	-0.40435	0.03785	0.50165	0.00775	0.212	0.51365	0.154675	0.46065	0.216825	0.063825	0.36165	0.282	-0.06835	-0.155	0.452	-0.274175	0.48	-0.22835	0.0503	0.280325	0.690825	0.00905	-0.0349	0.0526	-0.166	0.43865	-0.176	-0.04635	0.172	0.178	0.00205	0.121	-0.00827	0.15845	-0.404675	-0.13335	0.346825	-0.04135	0.16565	-0.105775	-0.406	-0.08235	-0.25735	0.434	-0.422	0.0267	-0.11	-0.298	-0.41635	0.579325	0.27265	-0.40035	-0.04535	-0.589	0.004325	-0.122575	0.10795	-0.236	-0.29335	-0.52635	-0.0641	-0.50335
BAIAP2	-0.067475	-0.71125	-0.179	-0.22425	-0.353	-0.67725	0.42575	0.13475	0.47	0.184	0.297	0.463375	0.38175	0.324375	0.22875	0.864875	0.238	0.19175	0.30175	-0.07445	-0.345	-0.66225	-0.03985	0.58075	0.02775	-0.29125	0.089325	0.38075	1.13	0.0178	-0.16305	-0.26025	0.86075	-0.13045	-0.416	-0.237	-0.013425	-0.551625	0.07075	0.158875	-0.468125	-0.17285	0.43475	0.20675	-0.454	1.02	-0.366	0.15475	0.007675	-0.18645	-0.219625	-0.02875	0.056275	-0.82025	0.00965	-0.52125	-0.42225	0.09775	-0.50425	0.07675	-0.12415	-0.0358	0.83075	1.854375	-0.53125	0.224875	-0.221875	1.01875	-0.683	0.03875	-0.237	-0.31	-0.179325	0.578	-0.05945	-0.845	-0.06237	-0.236125	-0.10313	-0.151	-0.582	-0.188	-0.23325	-0.297	0.28475	-0.485	0.193	0.00075	-0.56	-0.732	0.71175	-0.477125	0.19575	0.058375	-0.84225	0.43575	-0.547625	0.0101	-0.43925	-0.66325	-0.306	-0.699	-0.758	-0.266	-0.317	-0.13745	0.025315	-0.54925	-0.47825	-0.55325	-0.427	-0.077625	-0.341125	-0.46125	-0.651	-0.43125	-0.42525	-0.738	0.14375
TES	0.655925	-0.40615	-0.0062	0.18685	0.982	-0.02315	-0.55815	-0.14315	-0.136	-0.00203	-0.189	0.308925	0.25585	0.447925	0.31085	-0.000475	0.194	0.84885	-0.30015	0.26185	0.254	0.31385	-0.19815	-0.03815	0.07535	0.52085	0.059075	-0.14315	0.503	-0.0261	-0.61815	-0.37715	-0.12115	0.16785	0.515	-0.0815	0.137675	-0.185575	0.39385	0.311425	-0.105075	0.37685	0.24085	0.04575	0.33	0.386	-0.531	0.09845	-0.447575	-0.06315	-0.060925	0.50385	0.215925	0.15095	-0.12	-0.25915	0.45385	0.30185	-0.21315	0.69685	0.10613	-0.0178	0.25885	0.302425	-0.17115	0.152875	0.321425	0.25285	-0.137	0.06595	0.202	0.0426	0.302925	-0.189	-0.17115	-0.221	-0.158075	-0.402575	0.64785	0.255	-0.00554	0.403	0.00085	0.0549	0.23185	-0.178	-0.0435	0.45785	-0.201	0.0748	0.33885	-0.101075	-0.57215	0.159025	0.08475	-0.54715	-0.674075	-0.145	-0.68715	0.33985	0.106	-0.238	0.363	-0.203	-0.0759	-0.23115	0.121675	-0.51615	-0.15915	0.22485	-0.359	0.069025	0.185575	0.05205	0.19	0.12525	-0.55415	0.29	-0.10415
ALDH2	0.5962	0.4484	0.666	0.3384	0.399	0.0396	-0.5426	0.4434	-0.582	-1.48	0.107	0.0169	-0.3996	1.2472	0.5684	-1.2428	0.877	-0.3906	-0.4306	-0.8256	0.0847	-0.6186	-0.4776	0.3614	-0.0536	0.1674	-1.1078	-0.4586	-0.82	-0.637	-0.0956	-0.4756	-0.6406	0.9174	-0.159	-0.753	-0.7968	-1.5028	0.2804	-0.5798	1.2372	1.0244	-0.043	0.3304	-0.918	-0.686	-0.218	-0.4936	-0.13495	0.5024	-0.4033	-0.3966	-0.08805	0.7444	-0.132	-0.3666	0.3754	0.2804	0.5604	-0.5736	-0.3136	0.937	-0.1656	-0.5673	0.0319	0.2522	0.2192	0.0718	0.631	-0.0741	0.779	-0.433	0.5687	-0.726	-0.5156	0.793	-0.1738	0.07075	0.3124	0.427	-0.31	0.818	0.1474	-0.328	-0.2826	-1.19	-0.948	-0.1716	-1.69	-0.52	-0.1566	0.2837	0.1604	-0.6298	-0.6646	-0.9116	-1.1768	-0.443	-0.3326	0.4744	1.17	0.125	0.0924	-0.231	0.373	-0.5786	0.8447	1.3244	0.1334	0.6544	-0.0175	0.3507	-0.07045	-0.0753	0.779	0.6334	0.8704	-0.0783	-0.1236
RCN2	-0.223425	0.14515	0.0157	-0.28385	-0.775	1.33115	0.05745	-0.53985	0.346	-0.132	-0.214	0.362075	-0.49985	-0.067125	-0.08485	0.846075	1.22	-0.49785	0.36515	-0.87185	-0.246	-0.67285	0.27115	-0.28185	0.05445	0.28815	0.373075	-0.38085	-1.26	0.161	1.28115	-0.11685	0.53015	0.23815	0.0675	-0.0484	0.606575	-0.142675	-0.22285	0.006075	-0.468925	-0.25085	-0.59385	-0.13985	-0.673	0.109	0.127	-0.11585	0.614075	-0.14485	-0.203925	-0.14085	0.077375	0.66515	-0.58	0.28015	-0.19885	-0.89685	0.17255	0.30415	-0.21285	-0.0874	-0.10885	-0.242225	-0.37985	-0.458925	0.342575	0.13195	0.77	0.45715	-0.752	0.399	-0.109425	0.144	0.87115	0.297	0.482575	0.335925	-0.63285	-0.175	-0.205	-0.106	0.00275	0.102	0.05745	-0.111	0.31	-0.09285	-0.228	0.463	1.23115	0.228275	0.14435	0.010775	0.08415	0.30715	0.865575	0.636	0.42215	-0.48185	-0.431	-0.297	-0.361	-0.209	0.41	0.05825	0.353575	0.19335	-0.45685	0.49115	0.00765	-0.135425	-0.230275	0.53515	-0.457	0.32115	-0.72885	0.0836	-0.15785
CAPS	-1.83425	-1.5345	-0.774	0.7215	-1.47	1.6355	-0.3594	0.7305	-0.0607	0.666	-0.409	0.06575	0.0065	1.05275	-0.0555	0.37575	0.123	-0.2905	1.9155	0.5465	0.377	1.3655	0.3885	-0.3467	0.7355	-1.1845	1.04775	0.5485	1.39	-0.041	-0.9755	-0.2056	-0.9745	0.7855	-1.88	-0.32	0.52775	-0.09005	1.6255	0.04245	-0.72325	-0.0525	-0.1365	-0.8675	-1.45	-0.171	0.27	-0.5435	-1.24325	-1.3145	-1.25025	-1.4445	-1.11625	-1.3945	0.435	-0.325	0.1425	-0.3715	-0.1215	-1.2745	-1.1035	-0.929	-1.1005	0.60575	-1.3345	-0.58575	-0.96925	-0.7395	0.154	-0.5305	-0.275	-2.14	-0.79225	-0.169	-0.9355	0.211	-0.74375	-0.31125	0.4315	-0.85	0.355	-1.35	-0.1892	-1.38	0.9355	-1.48	-0.169	0.8555	-1.87	-0.63	-0.0305	-0.75575	-0.5495	0.06275	-1.8245	1.1055	-1.41225	0.346	1.4855	0.7215	-1.75	-1.81	-1.14	0.189	0.0789	-0.7715	-0.76925	-1.5845	1.6255	-1.1625	0.32	-0.79225	-1.71725	-1.0095	-0.659	2.3955	1.0155	-1.08	-0.0905
KCTD12	0.6821	-0.4488	-1.01	0.3822	-0.185	-0.9078	-0.4368	-0.3098	0.222	-0.335	0.2	0.3471	0.1762	0.6596	-0.5478	0.5531	-0.438	0.8692	0.3412	-0.4238	-0.0226	0.8892	-0.3718	-0.4138	0.3652	-0.3258	-0.3924	-0.0158	-0.717	-0.0015	-0.0778	0.2412	0.0152	-0.4278	0.148	0.0583	-0.5799	0.2081	0.4992	0.6366	0.0751	-0.0428	-0.0917	0.6412	0.453	0.251	-0.402	-0.7558	-0.7349	-0.1036	-0.6294	-0.4388	0.15685	-1.2908	-0.362	0.3832	-0.1367	0.2262	-0.6518	0.0692	-0.6118	0.284	-0.3088	-0.3714	-0.0658	0.9496	-0.07055	-0.0108	-0.236	-0.2466	0.333	0.225	-0.6304	-0.429	-0.0268	-0.168	0.2381	-0.3679	-0.3808	0.148	-0.825	-0.0214	-0.1192	0.2	-0.7458	0.458	0.19	-0.3058	-2.59	-0.539	-0.3158	-0.5434	-1.2708	-1.0539	-1.2608	-0.7018	-1.2119	-0.658	-0.9318	0.0152	-0.888	-0.282	0.0521	-0.119	0.647	-0.3638	-0.23025	-1.1498	0.1272	-1.3408	0.134	0.1756	-0.16575	-0.3488	0.398	-0.7518	0.3982	0.915	0.0852
ISYNA1	0.40685	-0.9186	0.312	0.4644	-0.633	-0.6926	-0.3296	-0.6186	1.34	-0.77	-0.673	-0.7228	0.5764	0.4812	-0.4056	0.2667	-0.797	0.6124	1.3264	-0.6286	-0.706	0.2544	0.0314	0.6184	-0.4756	1.0764	-0.4368	0.4394	0.333	0.479	-0.7206	0.1904	-0.3106	0.4244	-0.0787	0.699	-0.5088	-0.6163	-0.7686	-0.19645	-0.3221	-0.6776	-0.7416	-0.233	-0.191	-0.187	1.52	0.7664	0.311	0.4114	0.9977	-0.3266	-0.18475	1.2364	-1.14	0.5314	-0.8226	-1.2436	-0.3966	0.7224	0.3804	-0.622	-0.6726	-0.9908	-0.8196	0.07515	0.0503	-1.5336	-0.232	-0.1892	-0.303	-0.0651	-0.265	-0.921	0.6134	-0.544	-0.5553	-0.9183	-0.4776	-0.429	-0.348	-1.02	0.2844	-1.13	-0.5556	-1.14	0.309	0.0034	1.73	0.00972	-0.3376	1.0682	-0.1095	1.1332	0.2264	-0.0936	0.1387	-0.211	-0.0664	0.5314	-0.686	-0.0762	0.407	-0.719	-0.317	-0.1706	0.3492	-0.2936	-0.2376	0.4964	0.0816	0.14895	-0.1818	-0.2336	-0.183	0.8764	0.0404	-0.522	-1.2336
HLA-DRB1	1.1658	0.1026	0.636	-0.5504	0.545	-1.6724	-0.0994	-0.0944	-0.676	-0.12	1.28	-0.10315	-1.4224	0.4378	-1.2824	-0.7252	0.684	-0.5614	0.0306	0.6536	-0.299	0.1496	0.2306	-0.5624	-0.7664	0.0656	-0.2677	-1.4924	-2.17	-0.0774	0.0156	-0.4924	-0.1244	1.0876	0.101	0.0738	-0.2262	0.0133	0.5026	-0.059	-0.1782	0.4996	-0.1724	-0.9464	1.11	-0.474	-0.408	0.8476	0.1693	0.6076	-0.475355	-0.2598	-0.65025	-1.4324	-0.244	0.6166	-0.5614	0.6346	-0.8014	1.7276	-0.9274	0.0121	0.4506	-0.3495	-0.0764	-1.0282	-0.0451	-0.1948	0.276	0.3046	-1.74	0.167	-0.5507	1.99	-0.3086	0.65	0.3588	-0.3772	-1.0934	-0.0399	-0.277	0.963	-0.7414	-0.197	-1.0334	-0.577	-2.33	-0.7164	-3.15	-0.881	-1.2654	-1.1267	-0.7074	-0.8552	-0.5564	-1.4424	-2.3212	-2.76	-0.8404	-0.9964	1.03	-1.05	-0.494	-0.0594	-0.423	-1.3424	0.6678	-1.5724	-0.5684	-0.6664	0.712	-1.1277	0.5738	0.4036	0.204	-1.6624	-0.378	-0.682	-0.28809
ERAP1	-0.275775	0.60845	-0.474	-0.53455	0.0345	0.10845	-0.32585	-0.95455	-0.513	0.384	0.0727	0.110225	-0.23662	0.460225	-0.45955	-0.915775	-0.172	0.31545	-0.50455	-0.60155	-0.317	-0.17305	-0.55655	-0.55055	-0.28485	-0.71055	-0.436275	0.00045	-0.254	-0.296	0.02145	-0.38655	-0.91655	0.89645	0.971	-0.254	0.09132	-0.771775	-0.30485	-0.491775	0.589225	0.13245	1.12645	0.00845	-0.338	-0.648	-0.243	-0.23817	-0.537275	0.40845	-0.388275	0.04245	-0.552775	-1.23355	0.0409	-0.44555	-0.19255	0.51845	-0.04855	-0.48455	0.16445	0.577	-0.63355	0.193225	-0.50055	-0.160275	0.518225	-0.85155	0.132	-0.23048	0.351	-0.556	-0.128275	0.501	-0.24087	0.133	0.167725	-0.401775	-0.34055	-0.0936	-0.151	-0.2	-0.96355	0.119	0.10145	-0.721	-0.787	0.06345	-0.731	-0.473	-0.90355	0.047225	-0.93055	0.098775	-0.61055	-0.37655	-0.457775	-0.477	-0.66955	-0.14515	0.27	0.125	-1.51	0.0746	-0.2	-0.00955	-0.167775	-0.76055	-0.42955	0.03845	-0.0465	-0.125775	0.227725	-0.14285	0.263	0.32645	0.31045	0.396	-0.30945
S100A13	-0.4887	0.3076	-0.122	-0.2634	0.448	2.5416	-0.5854	1.0496	-0.997	0.179	0.0819	0.8123	0.6086	0.0203	0.0548	1.1258	1.6	0.7076	0.1293	0.1601	-0.427	1.7316	0.3096	0.8356	0.1326	-0.5914	0.1699	0.4066	-0.246	-0.342	-0.3564	-0.0664	0.4516	0.6906	-0.0972	-0.108	-0.3316	-0.7437	0.3996	0.8598	-0.1673	0.2846	0.0339	0.2806	-0.383	0.213	-0.315	0.1753	-1.5142	-0.2944	0.02443	-0.3574	0.2718	-0.8734	0.864	-0.3874	0.0772	0.7636	-0.1174	-0.3874	0.6276	-0.59	0.5386	2.3608	-0.8994	0.3923	-0.3512	0.1708	-0.324	0.0361	-1.03	-0.54	0.2848	1.06	-0.2824	0.0729	0.8268	-0.0092	-0.0284	-0.997	-0.00939	0.699	0.6166	0.579	0.3666	-0.779	0.00784	0.1028	-1.97	-0.537	0.5296	0.2568	0.5256	-1.0707	-0.9384	0.09498	-0.2146	-1.55	0.2036	1.2716	-1.35	-0.473	-2.42	0.179	0.555	-0.7604	-1.0757	-1.6884	-0.3184	-1.2384	0.448	-0.7082	-1.2227	-0.4284	-1.17	0.1238	-0.0994	2.11	0.7116
OPTN	0.077025	-0.38925	0.225	-0.01675	0.28	0.00565	-0.15055	-0.45225	-0.505	-0.218	-0.214	0.058775	-0.21125	0.026675	0.20275	-0.458625	-0.0204	-0.21025	-0.29725	-0.43525	-0.582	0.04575	-0.28925	0.45275	-0.17325	-0.53425	-0.327125	0.33075	-0.00593	-0.0738	0.20675	0.35075	-0.02415	-0.11165	0.024	-0.695	-0.031475	-0.405125	0.07775	-0.715125	-0.111775	0.10175	0.04175	-0.22625	0.00541	0.312	0.229	-0.13725	0.109875	0.25375	0.326375	0.45975	-0.220825	0.21775	0.125	-0.36025	0.08175	0.13775	0.33975	-0.26325	-0.03825	0.375	-0.42425	0.197375	0.15875	0.178875	0.155375	-0.07274	0.0906	0.07575	0.484	0.23	0.130375	0.125	0.20375	0.29	0.15762	-0.166275	-0.29925	-0.0141	-0.267	0.335	-0.13195	-0.0109	0.09375	-0.562	0.00843	-0.14765	-0.619	-0.51	0.07975	-0.419625	-0.37825	0.288875	-0.11955	-0.46225	-0.468125	-0.612	-0.22525	-0.24825	0.648	0.279	-0.763	0.42	-0.278	-0.39525	0.260375	-1.24825	-0.16735	0.02385	0.123	0.202375	0.097875	0.78475	-0.0366	-0.43425	0.51175	-0.0976	0.19375
PDLIM1	-0.1390225	-0.431045	0.575	-0.014045	-0.175	-0.752045	-0.556045	-0.282685	-0.249	0.982	0.0856	-0.7240225	-0.382545	-0.4830225	-0.781045	-0.7580225	-0.471	0.325955	-0.313745	-0.404045	0.0645	-0.323345	-0.540045	-0.017045	0.291955	0.358955	-0.5215225	-0.537045	0.528	-0.156	-0.552045	-0.081045	-0.418045	0.178955	-0.354	0.106	0.2089775	-0.5505225	0.033955	-0.7555225	-0.2839775	0.080955	-0.580045	-0.276445	-0.0967	0.00549	-0.474	-0.241845	-0.3545225	-0.313845	0.0974775	-0.024045	-1.0180225	-0.479045	-0.3	0.152955	-0.450045	0.028955	-0.264445	-0.102045	0.095955	0.0131	0.316955	-0.3209725	0.181955	0.0419275	-0.0240725	0.046955	0.206	-0.796045	0.00211	-0.384	0.0059775	-0.792	-0.341645	-0.151	0.0304775	-0.1145225	0.416955	0.551	-0.171	-0.266	-0.520045	-0.166	-0.295265	-0.471	0.00431	-0.640045	-0.656	-0.78	-1.340045	-0.2682225	-0.803045	-0.1850225	-0.077045	0.019955	-0.4850225	-0.804	-0.432045	-0.658045	-0.0677	1.37	-0.645	0.00977	0.256	-0.902045	0.4159775	-1.121045	-0.119045	-0.275145	-0.182	-0.1695225	0.4369775	-0.300445	0.51	-0.250545	-0.284825	0.202	-0.163045
CPPED1	0.176725	-0.26865	0.271	-0.09675	0.109	-0.16365	-0.22265	0.55035	0.469	-0.275	0.157	0.371675	0.06375	0.428175	0.19335	-0.305325	0.419	-0.86165	-0.72265	0.08535	-0.114	0.35935	-0.47865	-0.06325	0.13435	-0.28365	-0.243825	-0.26165	-0.433	0.394	-0.54765	1.10835	0.16735	1.74835	-0.203	0.0354	0.073025	-0.143425	0.07185	0.237675	-0.029325	0.81835	-0.44665	-0.30165	-0.709	-0.165	-0.405	0.54935	-0.482325	-0.87065	-0.258825	-0.18565	-0.151325	-0.42665	-0.295	-0.15365	0.32435	-0.46165	-0.07625	-0.28065	0.04125	0.373	-0.01005	-0.047725	-0.43265	-0.035025	-0.216825	0.18335	0.325	0.38735	0.247	-0.0611	-0.114275	0.591	0.40535	-0.17	0.550175	0.601175	0.14735	0.11	-0.606	-0.28	0.03725	-0.631	-0.24665	0.117	-0.457	-0.55865	0.227	-0.0761	-0.37865	-0.308325	1.98835	-0.315725	0.54135	-0.90865	-0.088125	-0.701	-1.48165	0.27335	0.242	-0.25	-0.0112	0.914	-0.0293	-0.29865	-0.079875	-0.55565	-0.25765	-0.36565	-0.00161	-0.005545	0.590675	-0.32465	0.216	-0.11655	-0.51065	-0.186	0.83435
